Name,Type,Description,Price,Category
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",689.97,Electronics
Classic Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",190.75,Toys
Classic Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",203.34,Books
Classic Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",1235.44,Food
Modern Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1417.43,Electronics
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",797.75,Food
Eco Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",16.49,Beauty
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",690.22,Sports
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1116.43,Home
Luxury Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",701.65,Electronics
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",288.21,Electronics
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1141.62,Books
Classic Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1187.03,Clothing
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",1334.59,Home
Classic T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",529.64,Clothing
Luxury Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",351.13,Electronics
Luxury Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",1334.2,Clothing
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",86.63,Electronics
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",5.99,Food
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",404.23,Electronics
Modern Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",798.09,Beauty
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",778.09,Toys
Premium T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",992.75,Clothing
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1040.85,Clothing
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",466.39,Sports
Eco Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1055.96,Beauty
Luxury Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",887.97,Beauty
Modern Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",429.26,Food
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",553.5,Sports
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",637.95,Home
Luxury Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",694.11,Sports
Luxury Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",34.59,Electronics
Classic T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",641.08,Clothing
Eco Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1100.3,Sports
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",608.12,Electronics
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",1437.15,Food
Eco Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",1415.94,Beauty
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1283.78,Clothing
Luxury Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1134.45,Books
Eco Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",913.12,Beauty
Luxury Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",550.78,Books
Classic Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",414.44,Food
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",965.25,Toys
Premium Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",572.18,Food
Eco Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",912.74,Electronics
Eco Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",523.96,Toys
Premium Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",184.95,Electronics
Modern Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1078.89,Books
Classic Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",262.05,Books
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",9.81,Beauty
Premium Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",917.5,Food
Premium Football,Football,"A Football in the Sports category, designed for quality and everyday use.",518.26,Sports
Luxury Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",949.75,Books
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1069.85,Clothing
Classic Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",823.7,Beauty
Modern Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",761.64,Clothing
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",1376.51,Clothing
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",889.94,Clothing
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",969.06,Home
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1233.88,Toys
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",265.87,Toys
Luxury Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",355.32,Beauty
Eco Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",317.73,Food
Eco Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",171.48,Beauty
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",166.32,Food
Luxury Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",268.13,Sports
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",189.05,Beauty
Modern Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",476.95,Home
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",291.04,Food
Premium Table,Table,"A Table in the Home category, designed for quality and everyday use.",532.72,Home
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",763.91,Books
Modern Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",11.66,Beauty
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1260.89,Toys
Eco Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",1207.68,Home
Luxury Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",240.95,Home
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1057.12,Electronics
Luxury Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",241.06,Sports
Modern Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",1271.52,Clothing
Eco Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",799.68,Electronics
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1228.89,Clothing
Classic Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",626.13,Food
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1173.91,Books
Premium Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",913.37,Beauty
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",991.47,Sports
Luxury Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1381.96,Food
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1189.82,Home
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",809.31,Home
Classic Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",427.93,Toys
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",673.09,Clothing
Modern Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",711.32,Toys
Modern Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",659.38,Beauty
Modern Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",8.13,Home
Eco Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1463.35,Electronics
Modern Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1482.75,Toys
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",617.12,Sports
Premium Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1333.22,Books
